title;username;description;the_category;image_url
pixelverse;pixelversexyzbot;"Pixelverse is a cyberpunk-themed gaming ecosystem that integrates third-party developers, intellectual properties (IP), and its own projects. \n\n
Pixelverse features a cyberpunk-themed game available on both Telegram and web browsers. \n\n
The platform boasts 60M players and over 14M social media followers, with one of the top 10 biggest channel on Telegram. \n\n";game;https://drive.google.com/file/d/1GbnAvkjMHAkcUMHcPDEX16SkF0uZTexG/view?usp=share_link
cat id paws;catidpawsbot;Catid Paws is a fun and enggaging web app where you swipe the screen to earn coins. Build and upgrade your virtual cat paradise, develop strategies to boost your passive income and compete with friends to climb the ranks. Enjoy exciting updates and bonuses as you purr your way to the top. \n\n;game;https://drive.google.com/file/d/1I0vO-SI9WtbKJ_IUPmroNEqQXauCfx5x/view?usp=share_link
orbitonX;orbitonx_bot;OrbitonX is a prediction game where players collect tokens from the Quest Portfolio by tapping on the right coins from the list. Earn rewards in $RCT tokens and move to the Staking phase to choose a crypto exchange and stake your coins for a few hours to gain even more $RCT. Collect your income and repeat the game!  \n\n;game;https://drive.google.com/file/d/1Nrhjrh_-uw2RMHkkD8Rxq1VDZVzq5JzD/view?usp=share_link
musk empire;muskempire_bot;Musk Empire is a clicker game with countless opportunities to earn coins, where your main goal is to build your own business empire. Complete tasks, invite friends, compete with players, and prepare for a huge token airdrop on TON Blockchain. \n\n;game;https://drive.google.com/file/d/14J_teW7UJzqHZ7_DJvKbocIvQYg0yeDW/view?usp=share_link
iceberg;IcebergAppBot;Iceberg is a decentralized workspace designed to simplify processes, enhance collaboration, and boost productivity. This Mini App lets you plan your tasks, record important information, and keep track of your data, all with the power of web3 for enhanced security and transparency.  \n\n;WEB3 tools;https://drive.google.com/file/d/1hF8QjYgABmPpEWoWfJWw5Mxvfpbk1rQA/view?usp=share_link
tapswap;tapswap_bot;TapSwap is not just a clicker game, but a growing web3 financial platform where users can earn tokens by utilizing the app's various mining activities. Using familiar clicker mechanics, this bot also offers its own features and presents a TapSwap Token, which distribution will occur among players in near future. \n\n;game;https://drive.google.com/file/d/1wrcvM0jZkD8vKUWnWzcGychsJvy2ZsFa/view?usp=share_link
teledate;tldtbot;Teledate is a dating bot, designed for those seeking love, companionship, or meaningful connections without the hassle of traditional dating apps. Whether you're looking to enjoy a casual date or have serious intentions to start a family, Teledate facilitates it all directly through your messenger. \n\n;social;https://drive.google.com/file/d/1lHoIa1ZnyqcERs9UGAKLJeZ38uF9I5qY/view?usp=share_link
to notion;to_notion_bot;To Notion Bot is a tool that integrates Telegram with your Notion workspaces. This bot is designed to enhance both individual productivity and team collaboration by allowing users to instantly send any Telegram content directly to Notion. \n\n;tools;https://drive.google.com/file/d/1OtLJ4uDCbfMDjK1t2jr1nKZVkMBvOlXP/view?usp=share_link
cubes?;cubesonthewater_bot;Cubes? is a mysterious clicker game, closely connected with the TON Punks project, but with its unique features and gameplay. Delve into the mining of cubes on a mysterious planet, earn Drops, and claim $PUNK tokens, all while immersed in a relaxing, meditative atmosphere. \n\n;game;https://drive.google.com/file/d/1vf9ARdOvTvdC_P2Eu8nQthURjR5eYyet/view?usp=share_link
payvote;PayVote_bot;PayVote is a Telegram bot that enhances community engagement by offering a unique way to create votings, gather settings, and even earn Toncoin in the process. \n\n;tools;https://drive.google.com/file/d/1rPhrqmUt60vsL3YFlY3zNHyt8uZvI2ZU/view?usp=share_link
sub&invite;subinvitebot;Sub&Invite is a mini-app designed to facilitate engaging competitions. Participants can join the contest by subscribing to specified channels and inviting friends, with rewards for the most active users. \n\n;tools;https://drive.google.com/file/d/1HohLCBy1lpQ2oquT2LfyB_xlJgVwW5tM/view?usp=share_link
dotcoin;dotcoin_bot;Dotcoin is a simple game where you get points by clicking on a DOT. Players can join clans, complete tasks, invite friends and increase levels — all to get as much Dotcoins as possible. \n\n;game;https://drive.google.com/file/d/1fV4_Q77aoTS6tnjnjgbjPRmMHXx7yQkw/view?usp=share_link
BILFT;bilft_bot;BILFT is a unique mini-app that equips every Telegram profile, channel, and chat with its personal billboard. Now, every Telegram user can enjoy their own public space where anonymous messages can be posted. \n\n;tools;https://drive.google.com/file/d/1Lh-g3XgPLmi3n7y4tLqV0vpUXCcXIlwB/view?usp=share_link
ton dating;tondating;TON Dating is a mini-app currently in development, designed to revolutionize the way friends and partners can find each other on Telegram. With TON blockchain integration, this membership-based dating community focuses on fostering high-quality connections. \n\n;social;https://drive.google.com/file/d/1tUeCkwJnQRzEmJOP0DxAEPP0c2o0rFWB/view?usp=share_link
sellz;sellzbot;Sellz, a solution for creating an online marketplace within the messenger, has unveiled updates to improve your selling experience.   \n\n;tools;https://drive.google.com/file/d/1O6LZkKG4SqFoId-FFrT_FN0aT1noH765/view?usp=share_link
squidtg;squidtg_bot;SquidTG is a pioneering inscription game that offers a unique idle experience right within Telegram. In this immersive underwater universe, players engage in strategic gameplay involving the hatching of squids, spawning of eggs, and trading in a bustling marketplace. \n\n;game;https://drive.google.com/file/d/1im3HNibHALGHqo41xHIylYi8fFkYLvkh/view?usp=share_link
brobot contest;brocontestsbot;Discover BroBot Contests, your gateway to engaging with top projects on The Open Network and winning exciting prizes. This app makes it easy to participate in various activities and raffles hosted on TON blockchain, ensuring you never miss out on rewarding opportunities. \n\n;WEB3 tools;https://drive.google.com/file/d/1PVcofCjhTEMNZCF3UjlqeYH36n9aRPDL/view?usp=share_link
tons of friends;toftechbot;TonsOfFriends is an app, transforming how users connect with groups and how community owners broaden their influence. Simply add this bot to your group, assign it admin privileges, and link your community to a world of possibilities. \n\n;social;https://drive.google.com/file/d/13-YLQI3OA9aqVWhpPw9WALPN72a4FaLm/view?usp=share_link
kingy gm ton;kingygmbot;KINGY GM TON is a new application from the KINGYTON project that turns daily token mining into an entertaining, gamified experience. Accessible directly within Telegram, this mini-app lets you mine $KINGY tokens easily every day. \n\n;game;https://drive.google.com/file/d/16ko1SPO2r13LjSmkQd-b-7LNrHKMIIZh/view?usp=share_link
shardify;hardify_bot;Shardify, now in beta on The Open Network, but already available via mini-app, offers a unique NFT fragmentation platform that allows you to convert NFTs into tradable tokens. This innovative service simplifies the exchange process, enhancing liquidity and making NFT ownership more flexible. \n\n;WEB3 tools;https://drive.google.com/file/d/1UPIcqj7pQ007o006TbR8gu4R9GavNfBF/view?usp=share_link
the open league;open_league_bot;The Open League Pools, a convenient mini-app offering effortless ways to join boosts and farming campaigns through liquidity provision, now introduces an exciting new utility: the ability to win a share of a 50k TON prize pool by making accurate predictions in The Open League! \n\n;tools;https://drive.google.com/file/d/1EyuMpX9qIe41poJDZrXpjENODTl6KqIG/view?usp=share_link
anonions;anonionbot;Anonion is an innovative mini-app, allowing seamless engagement with your audience through anonymous messages. Upon obtaining your personal link within the app, sharing it across various platforms enables you to receive anonymous feedback and answers to any questions you pose to your followers. \n\n;social;https://drive.google.com/file/d/1j3G8CR-A_zaewx3hIRAOEYDBJBt2LIbV/view?usp=share_link
fintrackbot;personalfintrackerbot;FinTrackBot is a go-to financial assistant, designed to simplify expense and income tracking. It automates the creation of a Google Spreadsheet for all your transactions, recognizing numbers, symbols, and automatically converting currencies when set. Access your financial overview by linking your email to the bot. \n\n;tools;https://drive.google.com/file/d/1cfHuMSR1jotN5Di_3hgpWipudYBRd-Pl/view?usp=share_link
